t,open_price,close_price,high_price,low_price,volumn
20171109191100,8222000,8227000,8229000,8200000,1.75709331
20171109191200,8202000,8226000,8227000,8201000,1.95814834
20171109191300,8201000,8203000,8226000,8201000,1.97646564
20171109191400,8203000,8221000,8222000,8203000,1.30275247
20171109191500,8220000,8220000,8221000,8204000,1.25807546
20171109191600,8204000,8202000,8204000,8200000,1.97213549
20171109191700,8201000,8200000,8202000,8197000,1.37779464
20171109191800,8200000,8197000,8203000,8197000,1.34978639
20171109191900,8202000,8211000,8211000,8202000,1.58124133
20171109192000,8211000,8211000,8212000,8210000,2.69629187
20171109192100,8212000,8218000,8219000,8211000,1.58799083
20171109192200,8217000,8219000,8219000,8217000,0.8991459999999999
20171109192300,8218000,8216000,8219000,8212000,1.18214018
20171109192400,8213000,8217000,8218000,8213000,2.48448314
20171109192500,8217000,8217000,8218000,8217000,0.929791
20171109192600,8218000,8200000,8218000,8199000,3.3896542000000003
20171109192700,8200000,8215000,8217000,8200000,1.76704595
20171109192800,8213000,8198000,8214000,8198000,1.68785243
20171109192900,8199000,8194000,8212000,8192000,1.11955276
20171109193000,8194000,8212000,8212000,8192000,1.82510472
20171109193100,8212000,8211000,8212000,8198000,1.83567706
20171109193200,8210000,8206000,8210000,8197000,1.11281985
20171109193300,8206000,8201000,8206000,8200000,3.10442035
20171109193400,8201000,8200000,8201000,8199000,1.20806847
20171109193500,8200000,8207000,8210000,8200000,1.11078399
20171109193600,8209000,8208000,8209000,8206000,1.1553693
20171109193700,8208000,8206000,8209000,8200000,1.48598287
20171109193800,8205000,8206000,8207000,8205000,1.07405758
20171109193900,8206000,8205000,8207000,8205000,1.62069724
20171109194000,8205000,8204000,8205000,8204000,0.75870465
20171109194100,8205000,8205000,8207000,8204000,1.36634114
20171109194200,8207000,8199000,8207000,8199000,4.06512776
20171109194300,8197000,8196000,8199000,8194000,3.11167877
20171109194400,8199000,8196000,8200000,8195000,1.03701141
20171109194500,8198000,8198000,8198000,8195000,0.76049403
20171109194600,8196000,8198000,8198000,8194000,1.41012477
20171109194700,8197000,8200000,8200000,8197000,1.17869443
20171109194800,8200000,8199000,8200000,8195000,1.43756862
20171109194900,8199000,8201000,8201000,8198000,1.4362677
20171109195000,8201000,8201000,8205000,8199000,1.62434393
20171109195100,8205000,8200000,8205000,8199000,2.31509128
20171109195200,8200000,8204000,8209000,8199000,2.19536255
20171109195300,8199000,8201000,8204000,8199000,1.28843316
20171109195400,8204000,8199000,8210000,8199000,2.28752258
20171109195500,8207000,8203000,8207000,8194000,8.105636500000001
20171109195600,8204000,8204000,8204000,8194000,1.88816769
20171109195700,8201000,8190000,8203000,8190000,4.64413407
20171109195800,8191000,8192000,8192000,8190000,1.77812531
20171109195900,8191000,8192000,8192000,8191000,0.78410341
20171109200000,8192000,8191000,8192000,8190000,1.84608639
20171109200100,8191000,8193000,8194000,8191000,1.81513219
20171109200200,8193000,8190000,8193000,8190000,1.80423095
20171109200300,8190000,8189000,8190000,8189000,1.47128198
20171109200400,8191000,8189000,8191000,8189000,1.15661177
20171109200500,8191000,8189000,8191000,8188000,1.07086236
20171109200600,8188000,8182000,8190000,8182000,0.94524852
20171109200700,8181000,8190000,8190000,8180000,0.99388128
20171109200800,8190000,8177000,8190000,8176000,2.26242461
20171109200900,8177000,8189000,8190000,8175000,1.33382254
20171109201000,8189000,8189000,8189000,8178000,1.56152799
20171109201100,8188000,8180000,8188000,8179000,1.08266601
20171109201200,8187000,8185000,8187000,8179000,1.04751081
20171109201300,8185000,8183000,8185000,8177000,1.71929465
20171109201400,8183000,8181000,8183000,8180000,1.69738345
20171109201500,8181000,8179000,8181000,8179000,1.55440046
20171109201600,8177000,8181000,8181000,8175000,2.92641986
20171109201700,8176000,8139000,8176000,8139000,13.33760142
20171109201800,8139000,8140000,8150000,8138000,2.39188862
20171109201900,8138000,8140000,8140000,8120000,2.93952369
20171109202000,8124000,8125000,8140000,8124000,0.93522863
20171109202100,8125000,8139000,8140000,8124000,1.61750183
20171109202200,8138000,8136000,8138000,8125000,1.63237312
20171109202300,8136000,8122000,8136000,8122000,3.27505763
20171109202400,8122000,8122000,8125000,8121000,1.92357789
20171109202500,8122000,8121000,8122000,8120000,4.87252642
20171109202600,8120000,8115000,8121000,8115000,2.01337156
20171109202700,8114000,8105000,8115000,8105000,3.2798234
20171109202800,8106000,8115000,8115000,8105000,2.82881926
20171109202900,8111000,8115000,8121000,8110000,3.41662717
20171109203000,8121000,8140000,8160000,8115000,1.04873549
20171109203100,8140000,8150000,8150000,8120000,1.93462204
20171109203200,8150000,8148000,8150000,8130000,1.35678559
20171109203300,8147000,8145000,8147000,8135000,1.0441302
20171109203400,8145000,8127000,8145000,8126000,1.75966638
20171109203500,8131000,8121000,8131000,8115000,3.62288239
20171109203600,8130000,8121000,8130000,8120000,2.92895882
20171109203700,8122000,8128000,8128000,8120000,3.03535281
20171109203800,8127000,8120000,8128000,8119000,4.22774233
20171109203900,8119000,8120000,8120000,8119000,2.34824116
20171109204000,8119000,8116000,8120000,8115000,3.52512838
20171109204100,8116000,8114000,8116000,8114000,2.35831211
20171109204200,8114000,8119000,8119000,8114000,1.65469781
20171109204300,8117000,8120000,8120000,8116000,2.06299158
20171109204400,8120000,8119000,8120000,8119000,2.08135566
20171109204500,8120000,8118000,8120000,8118000,1.32649741
20171109204600,8119000,8117000,8119000,8114000,2.00997013
20171109204700,8118000,8117000,8118000,8114000,2.0436402
20171109204800,8115000,8112000,8117000,8112000,1.7770176
